name,area_hint,categories,recommendations,accounts,naver_search,kakao_search
환승연애4,,"술집, 카페",3,"knewnew.official, knewnew.style",https://map.naver.com/p/search/%ED%99%98%EC%8A%B9%EC%97%B0%EC%95%A04,https://map.kakao.com/link/search/%ED%99%98%EC%8A%B9%EC%97%B0%EC%95%A04
월 한달 간 열리는 크랭크 팝업,,"걸스, 쇼핑",2,"knewnew.official, knewnew.style",https://map.naver.com/p/search/%EC%9B%94%20%ED%95%9C%EB%8B%AC%20%EA%B0%84%20%EC%97%B4%EB%A6%AC%EB%8A%94%20%ED%81%AC%EB%9E%AD%ED%81%AC%20%ED%8C%9D%EC%97%85,https://map.kakao.com/link/search/%EC%9B%94%20%ED%95%9C%EB%8B%AC%20%EA%B0%84%20%EC%97%B4%EB%A6%AC%EB%8A%94%20%ED%81%AC%EB%9E%AD%ED%81%AC%20%ED%8C%9D%EC%97%85
알티튜드 풀 & 라운지,,여행·숙소,2,"knewnew.official, knewnew.style",https://map.naver.com/p/search/%EC%95%8C%ED%8B%B0%ED%8A%9C%EB%93%9C%20%ED%92%80%20%26%20%EB%9D%BC%EC%9A%B4%EC%A7%80,https://map.kakao.com/link/search/%EC%95%8C%ED%8B%B0%ED%8A%9C%EB%93%9C%20%ED%92%80%20%26%20%EB%9D%BC%EC%9A%B4%EC%A7%80
미미,봉산동,"맛집, 쇼핑, 카페",2,"knewnew.official, knewnew.style",https://map.naver.com/p/search/%EB%AF%B8%EB%AF%B8%20%EB%B4%89%EC%82%B0%EB%8F%99,https://map.kakao.com/link/search/%EB%AF%B8%EB%AF%B8%20%EB%B4%89%EC%82%B0%EB%8F%99
기준 한남점,한남동,"맛집, 쇼핑, 카페",2,"knewnew.official, knewnew.style",https://map.naver.com/p/search/%EA%B8%B0%EC%A4%80%20%ED%95%9C%EB%82%A8%EC%A0%90%20%ED%95%9C%EB%82%A8%EB%8F%99,https://map.kakao.com/link/search/%EA%B8%B0%EC%A4%80%20%ED%95%9C%EB%82%A8%EC%A0%90%20%ED%95%9C%EB%82%A8%EB%8F%99
그랜드 리스보아 팰리스 마카오,,카페,2,"knewnew.official, knewnew.style",https://map.naver.com/p/search/%EA%B7%B8%EB%9E%9C%EB%93%9C%20%EB%A6%AC%EC%8A%A4%EB%B3%B4%EC%95%84%20%ED%8C%B0%EB%A6%AC%EC%8A%A4%20%EB%A7%88%EC%B9%B4%EC%98%A4,https://map.kakao.com/link/search/%EA%B7%B8%EB%9E%9C%EB%93%9C%20%EB%A6%AC%EC%8A%A4%EB%B3%B4%EC%95%84%20%ED%8C%B0%EB%A6%AC%EC%8A%A4%20%EB%A7%88%EC%B9%B4%EC%98%A4
SS 패션 트렌드 '컬러의 해방',,"걸스, 쇼핑",2,"knewnew.official, knewnew.style",https://map.naver.com/p/search/SS%20%ED%8C%A8%EC%85%98%20%ED%8A%B8%EB%A0%8C%EB%93%9C%20%27%EC%BB%AC%EB%9F%AC%EC%9D%98%20%ED%95%B4%EB%B0%A9%27,https://map.kakao.com/link/search/SS%20%ED%8C%A8%EC%85%98%20%ED%8A%B8%EB%A0%8C%EB%93%9C%20%27%EC%BB%AC%EB%9F%AC%EC%9D%98%20%ED%95%B4%EB%B0%A9%27
SS 크랭크 컬렉션,,걸스,2,"knewnew.official, knewnew.style",https://map.naver.com/p/search/SS%20%ED%81%AC%EB%9E%AD%ED%81%AC%20%EC%BB%AC%EB%A0%89%EC%85%98,https://map.kakao.com/link/search/SS%20%ED%81%AC%EB%9E%AD%ED%81%AC%20%EC%BB%AC%EB%A0%89%EC%85%98
월 신상 스폿,부산,"독서, 맛집, 쇼핑, 술집, 여행·숙소, 전시·문화, 카페",42,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%20%EC%8B%A0%EC%83%81%20%EC%8A%A4%ED%8F%BF%20%EB%B6%80%EC%82%B0,https://map.kakao.com/link/search/%EC%9B%94%20%EC%8B%A0%EC%83%81%20%EC%8A%A4%ED%8F%BF%20%EB%B6%80%EC%82%B0
게시물에 함께 가고 싶은 친구 태그하고 댓글 남기기!,,"맛집, 쇼핑, 술집, 전시·문화, 카페",11,knewnew.official,https://map.naver.com/p/search/%EA%B2%8C%EC%8B%9C%EB%AC%BC%EC%97%90%20%ED%95%A8%EA%BB%98%20%EA%B0%80%EA%B3%A0%20%EC%8B%B6%EC%9D%80%20%EC%B9%9C%EA%B5%AC%20%ED%83%9C%EA%B7%B8%ED%95%98%EA%B3%A0%20%EB%8C%93%EA%B8%80%20%EB%82%A8%EA%B8%B0%EA%B8%B0%21,https://map.kakao.com/link/search/%EA%B2%8C%EC%8B%9C%EB%AC%BC%EC%97%90%20%ED%95%A8%EA%BB%98%20%EA%B0%80%EA%B3%A0%20%EC%8B%B6%EC%9D%80%20%EC%B9%9C%EA%B5%AC%20%ED%83%9C%EA%B7%B8%ED%95%98%EA%B3%A0%20%EB%8C%93%EA%B8%80%20%EB%82%A8%EA%B8%B0%EA%B8%B0%21
월 2주차,,"독서, 맛집, 전시·문화, 카페",9,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%202%EC%A3%BC%EC%B0%A8,https://map.kakao.com/link/search/%EC%9B%94%202%EC%A3%BC%EC%B0%A8
월 1주차,,"걸스, 쇼핑, 여행·숙소, 카페",8,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%201%EC%A3%BC%EC%B0%A8,https://map.kakao.com/link/search/%EC%9B%94%201%EC%A3%BC%EC%B0%A8
